accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause,total_injure,total_dead
2016-10-01,01:40:40,อุดรรัถยา,normal,1,0,0,0,doze off,1,0
2016-10-01,02:48:48,ศรีรัช,normal,0,1,0,0,doze off,1,0
2016-10-01,06:38:38,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-01,15:30:30,ฉลองรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-01,02:45:45,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-01,17:31:31,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-03,06:00:00,ศรีรัช,normal,1,0,0,0,Change lane instantly,1,0
2016-10-03,19:41:41,ศรีรัช,rain,0,1,0,0,Off limit speed,1,0
2016-10-03,09:05:05,ศรีรัช-วงแหวนรอบนอก,normal,1,0,0,0,Change lane instantly,1,0
2016-10-04,11:50:50,บูรพาวิถี,rain,0,0,0,0,car/road condition,0,0
2016-10-04,20:20:20,บูรพาวิถี,rain,0,0,0,0,Off limit speed,0,0
2016-10-04,08:32:32,บูรพาวิถี,normal,2,1,0,0,Off limit speed,3,0
2016-10-04,11:52:52,บูรพาวิถี,rain,0,0,0,0,Off limit speed,0,0
2016-10-04,16:25:25,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Off limit speed,1,0
2016-10-05,12:27:27,บูรพาวิถี,normal,2,0,0,0,car/road condition,2,0
2016-10-05,21:23:23,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2016-10-05,15:38:38,ศรีรัช,normal,0,1,0,0,Change lane instantly,1,0
2016-10-05,01:03:03,ศรีรัช,rain,0,0,0,0,Change lane instantly,0,0
2016-10-06,19:41:41,ศรีรัช,normal,1,0,0,0,Off limit speed,1,0
2016-10-07,13:30:30,อุดรรัถยา,normal,1,0,0,0,Off limit speed,1,0
2016-10-08,23:26:26,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-08,21:57:57,ศรีรัช,normal,1,1,0,0,Off limit speed,2,0
2016-10-08,13:35:35,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-08,05:54:54,อุดรรัถยา,rain,1,2,0,0,Change lane instantly,3,0
2016-10-09,04:16:16,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-10,01:28:28,เฉลิมมหานคร,normal,0,0,0,0,doze off,0,0
2016-10-10,05:16:16,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-10,08:24:24,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,Off limit speed,0,0
2016-10-11,19:53:53,ฉลองรัช,normal,1,0,0,0,car/road condition,1,0
2016-10-11,07:46:46,ศรีรัช,normal,1,0,0,0,Off limit speed,1,0
2016-10-11,16:24:24,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-10-11,17:29:29,ศรีรัช,normal,0,2,0,0,Change lane instantly,2,0
2016-10-12,08:50:50,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-12,13:50:50,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-10-12,18:07:07,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,Off limit speed,0,0
2016-10-14,12:48:48,บูรพาวิถี,normal,1,0,0,0,Off limit speed,1,0
2016-10-15,00:48:48,บูรพาวิถี,normal,0,1,0,0,Off limit speed,1,0
2016-10-15,08:55:55,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Change lane instantly,0,0
2016-10-16,18:30:30,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-10-16,11:59:59,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-17,04:56:56,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
2016-10-17,15:12:12,บูรพาวิถี,normal,2,1,0,0,car/road condition,3,0
2016-10-17,17:27:27,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-10-17,07:07:07,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Change lane instantly,0,0
2016-10-18,23:56:56,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-18,00:52:52,ศรีรัช,rain,0,0,0,0,Off limit speed,0,0
2016-10-20,20:00:00,ฉลองรัช,normal,1,3,0,0,Off limit speed,4,0
2016-10-20,13:00:00,บูรพาวิถี,normal,0,0,0,0,Change lane instantly,0,0
2016-10-21,05:36:36,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-21,03:05:05,เฉลิมมหานคร,normal,0,0,1,0,doze off,0,1
2016-10-21,02:07:07,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Change lane instantly,0,0
2016-10-21,11:35:35,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-10-21,10:40:40,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,car/road condition,0,0
2016-10-21,16:33:33,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-21,02:25:25,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-21,04:44:44,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-10-21,17:13:13,บูรพาวิถี,normal,2,0,0,0,Change lane instantly,2,0
2016-10-22,10:15:15,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-10-22,15:07:07,ฉลองรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-23,18:45:45,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,car/road condition,0,0
2016-10-23,14:20:20,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-10-23,23:55:55,บูรพาวิถี,normal,2,0,0,0,Off limit speed,2,0
2016-10-23,23:32:32,เฉลิมมหานคร,normal,0,1,0,0,Change lane instantly,1,0
